p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,diff
0,1.0843624574508652,0.984,0.745,0,0,Hpgd,0.239
0,0.8676114914741255,0.986,0.751,0,0,Tmem100,0.235
0,0.8438628348436983,0.987,0.752,0,0,Cd93,0.235
0,0.7484917638217299,0.934,0.718,0,0,Sema3c,0.21600000000000008
0,0.748475712398126,0.827,0.453,0,0,Glp1r,0.37399999999999994
0,0.7291486479979724,0.615,0.243,0,0,Npr3,0.372
0,0.719531977510576,0.996,0.818,0,0,Ptprb,0.17800000000000005
0,0.6962209739347729,0.857,0.54,0,0,Plvap,0.31699999999999995
0,0.6720713662062785,0.98,0.81,0,0,Tspan7,0.16999999999999993
0,0.6591384906094824,0.998,0.947,0,0,Epas1,0.051000000000000045
0,0.6434881328215826,0.746,0.406,0,0,Golm2,0.33999999999999997
0,0.6193809239015291,0.786,0.442,0,0,Bmp6,0.34400000000000003
0,0.6075340775325666,0.945,0.683,0,0,Gpihbp1,0.2619999999999999
0,0.5996075350220975,0.964,0.768,0,0,Clec14a,0.19599999999999995
0,0.5939775360951922,0.943,0.726,0,0,BC028528,0.21699999999999997
0,0.591118255699091,0.989,0.886,0,0,Bmpr2,0.10299999999999998
0,0.5866613609541371,0.882,0.597,0,0,Cemip2,0.28500000000000003
0,0.5823871987818077,0.812,0.468,0,0,Kit,0.34400000000000003
0,0.5742427987993732,0.771,0.497,0,0,Hilpda,0.274
0,0.5736963191935875,0.885,0.592,0,0,Tek,0.29300000000000004
0,0.5723806511366925,0.967,0.755,0,0,Pltp,0.21199999999999997
0,0.5633480214448032,0.719,0.375,0,0,Sema3g,0.344
0,0.5574778473284953,0.773,0.458,0,0,Rnf144a,0.315
0,0.5418534649725464,0.97,0.791,0,0,Itga1,0.17899999999999994
0,0.536002652589497,0.993,0.907,0,0,Calcrl,0.08599999999999997
0,0.5328265349756904,0.73,0.403,0,0,Pde3a,0.32699999999999996
0,0.5213185713543478,0.717,0.383,0,0,Hmcn1,0.33399999999999996
0,0.515558253018547,0.853,0.573,0,0,Acer2,0.28
0,0.5043349477317581,0.775,0.481,0,0,Vegfa,0.29400000000000004
0,1.7447988739900424,0.913,0.325,0,1,Sparcl1,0.5880000000000001
0,1.3613364439262405,0.913,0.63,0,1,Cxcl12,0.28300000000000003
0,1.1827338085682482,0.726,0.254,0,1,Cdk19,0.472
0,1.0854562066866584,0.733,0.226,0,1,Ntrk2,0.507
0,1.0127712303910865,0.588,0.15,0,1,Amd1,0.43799999999999994
0,0.8861170088602522,0.85,0.532,0,1,Emcn,0.31799999999999995
0,0.8129148713252541,0.736,0.506,0,1,Hspa1a,0.22999999999999998
0,0.7992049655770256,0.707,0.376,0,1,Slc6a6,0.33099999999999996
0,0.7817065072977964,0.884,0.638,0,1,H2-Eb1,0.246
0,0.7676187285874563,0.96,0.832,0,1,Col4a1,0.128
0,0.746309518516874,0.896,0.66,0,1,H2-Aa,0.236
0,0.7374199215705133,0.944,0.803,0,1,Cd74,0.1409999999999999
0,0.7008973251095849,0.776,0.568,0,1,Hspb1,0.20800000000000007
0,0.6992139138487858,0.901,0.672,0,1,H2-Ab1,0.22899999999999998
0,0.6665462890592642,0.913,0.682,0,1,Scn7a,0.23099999999999998
0,0.5822050681992894,0.876,0.671,0,1,Col4a2,0.20499999999999996
0,0.5751432599208987,0.69,0.389,0,1,Fxyd5,0.30099999999999993
0,0.5667279155353904,0.775,0.524,0,1,Sox17,0.251
0,0.5654778510623268,0.979,0.941,0,1,Vim,0.038000000000000034
0,0.5516518673605842,0.769,0.507,0,1,Aldoa,0.262
0,0.5445928592402574,0.682,0.419,0,1,Ifngr1,0.26300000000000007
0,0.5356591109587443,0.756,0.547,0,1,Pde4b,0.20899999999999996
0,0.5316719178908516,0.983,0.928,0,1,Rps19,0.05499999999999994
0,0.5210690775379556,0.666,0.462,0,1,Hspa1b,0.20400000000000001
0,0.5128838429777574,0.988,0.955,0,1,Rpl18a,0.03300000000000003
0,3.025254587653688,0.983,0.289,0,2,Emp2,0.694
0,2.6303013082851585,0.969,0.425,0,2,Igfbp7,0.544
0,2.354904683337428,0.945,0.307,0,2,Car4,0.6379999999999999
0,2.0182095609601896,0.851,0.135,0,2,Ednrb,0.716
0,1.829479948047599,0.844,0.212,0,2,AW112010,0.632
0,1.7870941508497584,0.933,0.567,0,2,Kitl,0.3660000000000001
0,1.7753783592160168,0.888,0.406,0,2,Pmp22,0.482
0,1.7230762417092016,0.931,0.671,0,2,Kdr,0.26
0,1.5536385025491988,0.645,0.073,0,2,Fibin,0.5720000000000001
0,1.5107426348220703,0.911,0.605,0,2,Cyp4b1,0.30600000000000005
