p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,diff
0,3.8406398393525025,1,0.35,0,0,Sftpc,0.65
0,3.602862689605926,0.999,0.372,0,0,Scd1,0.627
0,3.560012712243611,0.999,0.238,0,0,Slc34a2,0.761
0,3.530815492241895,0.994,0.392,0,0,Lyz2,0.602
0,3.395491343659191,0.999,0.333,0,0,Cxcl15,0.6659999999999999
0,3.341336732911258,1,0.408,0,0,Sftpa1,0.5920000000000001
0,3.1949829693575094,1,0.377,0,0,Sftpb,0.623
0,3.0800928889410617,1,0.195,0,0,Lamp3,0.8049999999999999
0,3.0790406602127884,0.975,0.27,0,0,Chil1,0.705
0,2.994803933218658,1,0.266,0,0,Napsa,0.734
0,2.9503564594812985,0.966,0.15,0,0,Hc,0.816
0,2.8070668241814163,1,0.53,0,0,Sftpd,0.47
0,2.803847743338446,0.929,0.162,0,0,Fabp5,0.767
0,2.7510924669010706,0.965,0.154,0,0,S100g,0.8109999999999999
0,2.652794977506744,0.964,0.279,0,0,Lcn2,0.6849999999999999
0,2.499220739446822,0.995,0.364,0,0,Lpcat1,0.631
0,2.4616120725564254,1,0.933,0,0,Npc2,0.06699999999999995
0,2.3975113415276943,0.974,0.426,0,0,Elovl1,0.548
0,2.325477231300407,0.737,0.182,0,0,Lrg1,0.5549999999999999
0,2.320872743037739,0.928,0.141,0,0,Gm43085,0.787
0,2.278811920226883,0.997,0.339,0,0,Dram1,0.6579999999999999
0,2.2573649891544263,0.983,0.236,0,0,Sfta2,0.747
0,2.2560291206710836,0.979,0.255,0,0,Fasn,0.724
0,2.155625157218844,0.994,0.363,0,0,Ctsc,0.631
0,2.12427742703623,0.868,0.104,0,0,Il33,0.764
0,1.941988110214163,0.972,0.187,0,0,Lgi3,0.7849999999999999
0,1.9336535100838843,0.965,0.139,0,0,Egfl6,0.826
0,1.9236904036103724,0.985,0.466,0,0,Abca3,0.5189999999999999
0,1.8897161835932965,0.985,0.358,0,0,Ppp1r14c,0.627
0,1.87180822345432,0.998,0.722,0,0,Cd74,0.276
0,1.854040453955919,0.953,0.131,0,0,Etv5,0.822
0,1.8226838802148528,0.705,0.119,0,0,Chia1,0.586
0,1.8209872427814822,0.991,0.331,0,0,Muc1,0.6599999999999999
0,1.7871177725820317,0.976,0.493,0,0,H2-Aa,0.483
0,1.7859389386009865,0.911,0.149,0,0,Mme,0.762
0,1.7214896223424039,0.979,0.386,0,0,Acsl4,0.593
0,1.6568424946904172,0.954,0.362,0,0,Zdhhc3,0.592
0,1.6462237804474067,0.612,0.062,0,0,Itih4,0.55
0,1.6232764220864948,0.839,0.107,0,0,Lrp2,0.732
0,1.618551567282796,0.949,0.349,0,0,Car8,0.6
0,1.611063808988979,0.917,0.276,0,0,Cpm,0.641
0,1.6107372591846358,0.899,0.363,0,0,Mid1ip1,0.536
0,1.5897671714330803,0.945,0.348,0,0,Soat1,0.597
0,1.5227329071526972,0.979,0.434,0,0,Ank3,0.5449999999999999
0,1.489533563808189,0.976,0.703,0,0,Tgoln1,0.273
0,1.4854830481817112,0.757,0.069,0,0,Acoxl,0.688
0,1.4720239570149924,0.879,0.136,0,0,Slco4c1,0.743
0,1.4566355272392666,0.963,0.411,0,0,Pi4k2b,0.552
0,1.447478348221213,0.796,0.198,0,0,Acot7,0.5980000000000001
0,1.4385152769611385,0.953,0.499,0,0,H2-Ab1,0.45399999999999996
0,1.4377006886860988,0.94,0.362,0,0,Tmem243,0.578
0,1.4255185917947064,0.845,0.134,0,0,Pla2g1b,0.711
0,1.399527166532378,0.98,0.693,0,0,Rnase4,0.28700000000000003
0,1.3907319864720478,0.869,0.174,0,0,Kcnj15,0.6950000000000001
0,1.3485912434087584,0.998,0.708,0,0,Atp1b1,0.29000000000000004
