p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,diff
0,4.854196098753192,0.991,0.058,0,0,Plet1,0.9329999999999999
0,4.714453061483937,0.82,0.029,0,0,Ear1,0.7909999999999999
0,4.658695598570933,0.995,0.14,0,0,Lpl,0.855
0,4.379702148018142,0.994,0.192,0,0,Chil3,0.802
0,4.3036783424628045,0.984,0.144,0,0,Ear2,0.84
0,4.199714941747574,0.993,0.054,0,0,Atp6v0d2,0.939
0,4.097417202374272,0.63,0.02,0,0,Krt79,0.61
0,3.9748362823460686,0.997,0.231,0,0,Abcg1,0.766
0,3.9036451295420496,0.936,0.046,0,0,Slc7a2,0.89
0,3.8542500075906725,0.943,0.064,0,0,Olr1,0.879
0,3.821336173898115,0.701,0.029,0,0,Krt19,0.6719999999999999
0,3.7799561215352417,0.646,0.051,0,0,Car4,0.595
0,3.724828860649599,0.915,0.051,0,0,Ltc4s,0.864
0,3.654111986771084,0.761,0.042,0,0,Ctsk,0.719
0,3.616573596152305,0.996,0.134,0,0,Mrc1,0.862
0,3.616008073812461,0.908,0.049,0,0,F7,0.859
0,3.5682853324208166,0.986,0.157,0,0,Nceh1,0.829
0,3.467734810027444,0.891,0.089,0,0,Il18,0.802
0,3.464162506893064,0.911,0.095,0,0,Wfdc21,0.8160000000000001
0,3.44824551324619,0.913,0.097,0,0,Klhdc4,0.8160000000000001
0,3.4325035462920317,0.999,0.372,0,0,Ccl6,0.627
0,3.391350958639455,1,0.416,0,0,Cd9,0.5840000000000001
0,3.3850926810163373,0.624,0.017,0,0,Cidec,0.607
0,3.3632587454758296,0.967,0.135,0,0,Tcf7l2,0.832
0,3.329580782618705,0.898,0.126,0,0,S100a1,0.772
0,3.3081851831843787,0.739,0.074,0,0,Mmp19,0.665
0,3.30375792297488,0.956,0.12,0,0,Hebp1,0.836
0,3.28107200708404,1,0.511,0,0,Ctsd,0.489
0,3.212015933549845,0.645,0.07,0,0,Fabp4,0.575
0,3.19749472705214,0.689,0.064,0,0,Serpine1,0.625
0,3.1813837650557915,0.977,0.148,0,0,Axl,0.829
0,3.17491345795053,0.844,0.101,0,0,Lpin1,0.743
0,3.144785749345893,0.809,0.07,0,0,Prkar2b,0.7390000000000001
0,3.1382952267072284,0.91,0.147,0,0,Ncoa4,0.763
0,3.1202245949409333,0.872,0.08,0,0,Sort1,0.792
0,3.1187286479381493,0.857,0.083,0,0,Mertk,0.774
0,3.11134348818547,0.652,0.016,0,0,Kcnn3,0.636
0,3.095428590073952,0.807,0.08,0,0,Net1,0.7270000000000001
0,3.0841232955864912,0.945,0.237,0,0,Sgk1,0.708
0,3.0482664720159454,0.866,0.1,0,0,Spp1,0.766
0,3.0173049594920656,0.923,0.144,0,0,Clec4n,0.779
0,2.985902536313951,0.72,0.075,0,0,Gdf15,0.645
0,2.9739196067120175,0.752,0.068,0,0,Ly75,0.6839999999999999
0,2.961533723596061,0.936,0.149,0,0,Bst1,0.787
0,2.924526047813131,0.724,0.052,0,0,Lrp12,0.6719999999999999
0,2.905100125190761,0.976,0.247,0,0,Lipa,0.729
0,2.8803464941486006,0.955,0.198,0,0,Pld3,0.7569999999999999
0,2.8747035990066667,0.948,0.168,0,0,Itgax,0.7799999999999999
0,2.872038087552787,0.702,0.057,0,0,Fpr1,0.6449999999999999
0,2.8678432312626634,0.891,0.104,0,0,Dmxl2,0.787
0,2.865809838216789,0.976,0.248,0,0,Adipor2,0.728
0,2.855346173846794,0.752,0.062,0,0,Cd200r4,0.69
0,2.8457059757332144,0.729,0.059,0,0,Mgll,0.6699999999999999
0,2.836103518918086,0.987,0.332,0,0,Cd164,0.655
0,2.806949862228296,0.999,0.36,0,0,Clec7a,0.639
0,2.7978821755337013,0.998,0.339,0,0,Sirpa,0.659
0,2.7870136653770126,0.792,0.089,0,0,Ms4a8a,0.7030000000000001
0,2.7596264783023976,0.676,0.047,0,0,Tfec,0.629
0,2.7483985194456033,0.941,0.21,0,0,Ptpn12,0.731
0,2.6952530148049485,0.501,0.02,0,0,Siglecf,0.481
0,2.685363099445861,0.794,0.102,0,0,Pla2g15,0.6920000000000001
0,2.677098262614668,0.521,0.029,0,0,Adcy3,0.492
0,2.668565634095946,0.555,0.037,0,0,B3gnt7,0.518
0,2.6471082192017885,0.889,0.21,0,0,Cdc42ep3,0.679
0,2.646261705025726,0.675,0.06,0,0,Pparg,0.615
0,2.6426489821217487,0.572,0.075,0,0,Mt2,0.49699999999999994
0,2.6291195184741825,0.89,0.191,0,0,AI504432,0.6990000000000001
0,2.6241506725945056,0.886,0.17,0,0,Cd302,0.716
0,2.6158271002416194,0.975,0.244,0,0,Mt1,0.731
0,2.5928061734798926,0.706,0.085,0,0,Acox1,0.621
0,2.5919090711506043,0.674,0.071,0,0,Abcd2,0.6030000000000001
0,2.5888852692946087,0.827,0.13,0,0,Sulf2,0.697
0,2.586495715614006,0.57,0.049,0,0,Cib2,0.5209999999999999
0,2.5841342276849724,0.681,0.067,0,0,Sh2d1b1,0.6140000000000001
0,2.575139655380006,0.552,0.045,0,0,Bhlhe41,0.507
0,2.568289234029314,0.856,0.133,0,0,Shtn1,0.723
0,2.548189922888603,0.754,0.114,0,0,Cyb561a3,0.64
0,2.5382892183085772,0.585,0.068,0,0,Dhrs7b,0.5169999999999999
0,2.514525841759752,1,0.402,0,0,Mpeg1,0.598
0,2.5141857167670087,0.811,0.13,0,0,Idh1,0.681
0,2.514052539166312,0.737,0.104,0,0,Vat1,0.633
0,2.5116739159905275,0.814,0.138,0,0,Myof,0.6759999999999999
0,2.4877921608206117,0.96,0.31,0,0,Septin9,0.6499999999999999
0,2.486310273562634,0.654,0.079,0,0,Pros1,0.5750000000000001
0,2.477788284620104,0.917,0.219,0,0,Abhd12,0.6980000000000001
0,2.4661980911809094,0.85,0.168,0,0,Itpripl2,0.6819999999999999
0,2.4587037275236288,0.564,0.08,0,0,Pcyox1,0.48399999999999993
0,2.4516247412840704,0.703,0.111,0,0,Fpr2,0.592
0,2.449238439085275,0.996,0.345,0,0,Plin2,0.651
0,2.4440052640230454,0.666,0.084,0,0,Gm48582,0.5820000000000001
0,2.438865724729277,1,0.581,0,0,Cd44,0.41900000000000004
0,2.419180844769233,0.912,0.217,0,0,Colgalt1,0.6950000000000001
0,2.4185378328162677,0.829,0.145,0,0,Dhrs3,0.6839999999999999
0,2.4162949463209484,0.857,0.159,0,0,Anxa4,0.698
0,2.377543862173453,0.815,0.146,0,0,Tmbim1,0.6689999999999999
0,2.3600415529136383,0.782,0.13,0,0,Camk1,0.652
0,2.3379575347818533,0.637,0.093,0,0,Lima1,0.544
0,2.333859855573247,0.98,0.357,0,0,Creg1,0.623
0,2.3219912337355026,0.887,0.143,0,0,Dab2,0.744
0,2.29894341234347,0.979,0.297,0,0,Trf,0.6819999999999999
0,2.2802536227574746,0.615,0.11,0,0,Egr2,0.505
0,2.278245372712827,0.603,0.064,0,0,Lilra5,0.5389999999999999
0,2.260840110180796,0.989,0.316,0,0,Tnfaip2,0.673
0,2.2580506748950113,0.77,0.151,0,0,Blvra,0.619
0,2.255121659639377,0.726,0.125,0,0,Tbc1d9,0.601
0,2.2447061011598763,0.861,0.216,0,0,Pnpla8,0.645
0,2.2409929761829854,0.946,0.231,0,0,Mcemp1,0.715
0,2.2343135025039222,0.508,0.047,0,0,Myo7a,0.461
0,2.222055363650629,0.933,0.261,0,0,Snx10,0.672
0,2.2077933156089333,0.864,0.228,0,0,Chp1,0.636
0,2.2058935830683115,0.834,0.261,0,0,Kcnq1ot1,0.573
0,2.191033341187414,0.666,0.111,0,0,Abcc5,0.555
0,2.1876749324114275,0.599,0.09,0,0,F11r,0.509
0,2.1842735906380906,0.785,0.192,0,0,Zfp703,0.593
0,2.1817447403554895,0.61,0.088,0,0,Dapk1,0.522
0,2.1791003839653458,0.5,0.057,0,0,Lsr,0.443
0,2.1747053378340198,0.676,0.119,0,0,Samd8,0.557
0,2.172796687432555,0.544,0.067,0,0,Cd200r1,0.47700000000000004
0,2.1719140313565957,0.956,0.392,0,0,Runx1,0.564
0,2.1645836271281578,0.77,0.196,0,0,Tob1,0.5740000000000001
0,2.1569772893272723,0.864,0.247,0,0,Atp13a3,0.617
0,2.156615031161582,0.86,0.188,0,0,Hvcn1,0.6719999999999999
0,2.151359102570341,0.78,0.18,0,0,Nus1,0.6000000000000001
0,2.1510919621165234,0.777,0.157,0,0,Gsap,0.62
0,2.145382666307608,0.917,0.277,0,0,Dstn,0.64
0,2.138232643075707,0.725,0.124,0,0,Dst,0.601
0,2.135895975077079,0.927,0.288,0,0,Atp6v1b2,0.639
0,2.131502726944226,1,0.502,0,0,Lyz2,0.498
