p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,diff
0,2.048057374619133,0.99,0.558,0,0,Npnt,0.43199999999999994
0,2.0271610200174583,0.642,0.134,0,0,Scn3a,0.508
0,1.9837444273648077,0.841,0.308,0,0,Ces1d,0.5329999999999999
0,1.9756890062159036,0.962,0.464,0,0,Mettl7a1,0.49799999999999994
0,1.9544055355389087,0.538,0.104,0,0,Scube2,0.43400000000000005
0,1.946856476260733,0.916,0.375,0,0,Cdo1,0.541
0,1.7621735445455515,0.823,0.256,0,0,Nebl,0.567
0,1.7366118696035215,0.957,0.505,0,0,Aldh1a1,0.45199999999999996
0,1.7071396241837262,0.998,0.639,0,0,Inmt,0.359
0,1.6922499551068029,0.626,0.17,0,0,Mme,0.45599999999999996
0,1.6607145658656381,0.876,0.457,0,0,G0s2,0.419
0,1.6165048521292453,0.879,0.394,0,0,Selenbp1,0.485
0,1.607782516844016,0.589,0.165,0,0,Gm4956,0.42399999999999993
0,1.5814674439896743,0.953,0.445,0,0,Itga8,0.508
0,1.5746720775516296,0.729,0.25,0,0,Specc1l,0.479
0,1.570153768306378,0.835,0.412,0,0,Tcf21,0.423
0,1.5625813612575326,0.745,0.291,0,0,Gsta3,0.454
0,1.5455651172087914,0.951,0.565,0,0,Hsd11b1,0.386
0,1.5448288876738907,0.946,0.43,0,0,Gyg,0.516
0,1.5367910647536882,0.534,0.154,0,0,Cdkn2c,0.38
0,1.5343255367795106,0.796,0.289,0,0,Col13a1,0.5070000000000001
0,1.511487142313219,0.996,0.757,0,0,Gpx3,0.239
0,1.4352463558639905,0.998,0.607,0,0,Limch1,0.391
0,1.4210939133842169,0.987,0.623,0,0,Pcolce2,0.364
0,1.3767815920821462,0.998,0.687,0,0,Macf1,0.31099999999999994
0,1.3755274842205096,0.947,0.667,0,0,Mfap4,0.2799999999999999
0,1.3714571305863696,0.999,0.755,0,0,Fmo2,0.244
0,1.3555915130814553,0.612,0.225,0,0,Robo2,0.387
0,1.3527688402426252,0.947,0.557,0,0,Pdgfra,0.3899999999999999
0,1.348661084892407,0.623,0.23,0,0,Sh3bp5,0.393
0,1.3408615433746416,0.834,0.385,0,0,Dpep1,0.44899999999999995
0,1.3024727807043452,0.79,0.325,0,0,Dock4,0.465
0,1.3022782067872494,0.683,0.249,0,0,Trf,0.43400000000000005
0,1.2595174902805217,0.542,0.191,0,0,Slc38a5,0.35100000000000003
0,1.2569583955563826,0.948,0.513,0,0,Spon1,0.43499999999999994
0,1.2521097356477915,0.982,0.673,0,0,Ogn,0.30899999999999994
0,1.2455732557061383,0.668,0.271,0,0,C7,0.397
0,1.2381366962314766,0.588,0.231,0,0,Tmem119,0.357
0,1.23285944648089,0.942,0.535,0,0,Septin4,0.4069999999999999
0,1.2325138764697239,0.95,0.656,0,0,Mxra8,0.29399999999999993
0,1.2292837697150367,0.989,0.698,0,0,Fhl1,0.29100000000000004
0,1.2193337053385924,0.785,0.387,0,0,Nox4,0.398
0,1.2081434191745906,0.982,0.677,0,0,Plxdc2,0.30499999999999994
0,1.2050667997912312,0.879,0.485,0,0,Myh10,0.394
0,1.2006188138072147,0.857,0.457,0,0,Tacc1,0.39999999999999997
0,1.1888575776899164,0.765,0.372,0,0,Angpt1,0.393
