p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,diff
2.259511399679618e-262,2.337118146336951,0.97,0.375,5.6526196685785e-258,0,Inmt,0.595
7.545283082562505e-256,2.3154119265857425,0.917,0.265,1.887603468764662e-251,0,Ogn,0.652
1.0759923444997754e-252,2.1292146864092465,0.983,0.413,2.691810048235088e-248,0,Fmo2,0.5700000000000001
1.0434220605990553e-246,2.0274345605216926,0.965,0.391,2.6103289690006567e-242,0,Limch1,0.574
4.770346114496181e-236,1.9392593640376843,0.994,0.492,1.1933974874635096e-231,0,Gsn,0.502
5.403679458775452e-232,2.107406515027673,0.944,0.356,1.3518384902018549e-227,0,Npnt,0.588
9.160120953523979e-227,1.9969647938161277,0.941,0.341,2.291587458943094e-222,0,Pcolce2,0.5999999999999999
1.3823879208646535e-224,1.9852724351801307,0.903,0.287,3.4583198616271035e-220,0,Plxdc2,0.6160000000000001
2.3377921264486516e-219,2.1454319856043482,0.847,0.24,5.848454562736592e-215,0,Mettl7a1,0.607
2.0457083802047942e-216,1.8280051386015939,0.937,0.358,5.117748654758334e-212,0,Fhl1,0.5790000000000001
1.2488178734942968e-213,2.0681139477986115,0.9,0.309,3.124167674120682e-209,0,Aldh1a1,0.591
6.571266188624366e-213,2.0471979947197543,0.81,0.21,1.6439336624081576e-208,0,Itga8,0.6000000000000001
1.3758995266800307e-196,2.0078655830337198,0.8,0.218,3.4420878458954328e-192,0,Cdo1,0.5820000000000001
5.354459791450916e-196,1.923604968630566,0.848,0.264,1.3395252060272757e-191,0,Pdgfra,0.584
2.52133439625997e-192,1.8117006533825473,0.973,0.488,6.307622259123567e-188,0,Gpx3,0.485
1.8464180333271793e-189,1.806874371289675,0.827,0.251,4.619183993974604e-185,0,Spon1,0.576
2.2619411094168717e-183,1.5530765564334168,0.977,0.739,5.658698073428188e-179,0,Macf1,0.238
1.5060112959443315e-182,1.7465051522162582,0.882,0.336,3.767588459063934e-178,0,Prelp,0.546
4.254223701366128e-182,1.6883266912084447,0.841,0.259,1.0642791433707641e-177,0,Colec12,0.582
1.2915391278968926e-180,1.7560753383696244,0.845,0.278,3.231043436259656e-176,0,Gyg,0.567
1.067646961609927e-174,1.6941586153702537,0.913,0.396,2.670932403859554e-170,0,Hsd11b1,0.517
4.5919859513695965e-173,1.9144678218656555,0.764,0.218,1.148777125454132e-168,0,Ces1d,0.546
1.7993217062702062e-168,1.8993471803653492,0.657,0.15,4.501363112576175e-164,0,Nebl,0.507
5.89718669727248e-168,1.70910653101499,0.861,0.338,1.4752991960566565e-163,0,Mxra8,0.5229999999999999
8.674369631816212e-168,1.4107556423009093,0.949,0.422,2.1700670507914618e-163,0,Serping1,0.5269999999999999
